IDS,Income,Solar energy,Num of members,Energy usage
312,4,0,1,1
313,1,0,4,4
314,3,0,2,3
315,6,0,2,4
316,2,0,1,2
317,5,0,4,4
318,8,1,5,4
319,5,0,2,2
320,2,0,3,4
321,7,1,3,4
322,5,0,1,1
323,1,0,4,4
324,3,-2,1,1
325,8,0,2,4
326,5,0,5,4
327,2,0,3,4
328,6,0,6,2
329,6,0,2,2
330,1,-2,3,2
331,1,0,2,1
332,8,0,2,4
333,1,0,3,4
334,3,0,7,3
335,1,-2,1,1
336,5,0,2,4
337,2,0,1,1
338,1,-2,1,1
339,4,-2,2,3
340,1,0,1,3
341,2,0,4,1
342,4,0,4,4
343,2,0,2,4
344,2,0,2,3
345,2,0,2,2
346,3,0,5,3
347,8,0,2,3
348,1,-2,4,1
349,4,0,6,3
350,4,0,2,3
351,8,0,4,4
352,5,0,1,1
353,7,0,3,4
354,1,0,1,3
355,1,0,2,1
356,6,0,3,4
357,4,0,1,1
358,2,-2,5,3
359,1,0,4,4
360,7,0,6,1
361,5,0,3,3
362,4,0,3,3
363,2,-2,1,3
364,2,0,4,4
365,3,0,1,2
366,3,0,2,3
367,1,0,1,2
368,2,-2,6,2
369,2,0,1,1
370,3,0,2,2
371,4,0,2,4
372,1,-2,7,1
373,2,-2,3,2
374,3,0,1,1
375,4,0,3,3
376,6,-2,2,4
377,2,0,2,4
378,1,-2,3,4
379,8,0,4,2
380,3,-2,2,1
381,3,0,5,3
382,7,0,6,2
383,1,0,6,1
384,3,-2,3,1
385,3,-2,3,2
386,6,0,2,1
387,1,-2,1,1
388,1,-2,5,2
389,2,0,2,3
390,8,0,1,4
391,8,0,2,4
392,3,0,1,2
393,3,0,1,3
394,4,-2,3,1
395,4,0,2,2
396,4,0,5,3
397,8,0,2,4
398,1,0,1,4
399,8,1,4,4
400,3,0,3,1
401,2,-2,2,1
402,1,0,3,2
403,7,0,3,3
404,2,0,2,3
405,2,0,2,2
406,3,0,1,2
407,3,-2,2,2
408,2,0,1,2
409,6,0,3,4
410,3,0,2,2
411,4,-2,1,1
412,3,-2,2,3
413,1,0,2,1
414,5,0,3,3
415,8,0,2,3
416,2,0,1,1
417,2,0,6,4
418,2,0,2,2
419,5,0,3,4
420,2,-2,1,1
421,1,0,2,1
422,8,-2,4,2
423,5,0,1,3
424,2,-2,1,1
425,6,0,2,1
426,3,0,3,3
427,1,-2,1,1
428,1,-2,4,4
429,3,0,3,4
430,4,0,1,3
431,4,0,1,1
432,1,0,3,4
433,8,0,1,3
434,4,0,3,1
435,8,0,5,4
436,2,0,2,1
437,5,0,1,2
438,4,0,2,2
439,2,0,1,3
440,3,0,3,1
441,6,0,3,2
442,1,-2,2,1
443,3,0,2,1
444,2,-2,2,1
445,8,-2,2,2
446,1,0,1,4
447,3,0,2,2
448,2,0,2,1
449,8,0,4,4
450,2,0,1,4
451,7,0,2,3
452,3,-2,5,3
453,2,0,2,4
454,2,0,2,4
455,3,-2,1,1
456,4,0,2,1
457,4,0,3,2
458,6,0,5,3
459,3,-2,2,1
460,5,0,4,4
461,3,0,3,3
462,3,0,3,2
463,2,0,1,3
464,3,0,3,4
465,3,0,5,4
466,5,-2,1,2
467,2,0,2,1
468,1,-2,2,2
469,2,-2,1,1
470,5,0,3,3
471,1,-2,2,2
472,2,-2,1,2
473,1,-2,3,3
474,3,0,6,2
475,4,0,2,4
476,3,0,4,4
477,4,0,3,3
478,4,0,1,2
479,2,0,4,4
480,2,0,1,3
481,2,-2,1,1
482,2,-2,1,1
483,8,-2,2,1
484,2,0,6,4
485,2,0,1,1
486,8,0,5,2
487,4,0,2,4
488,2,0,3,3
489,1,0,1,1
490,3,-2,2,3
491,8,0,2,3
492,1,0,2,3
493,3,0,1,2
494,7,0,2,2
495,5,0,4,4
496,3,0,5,4
497,5,0,4,4
498,4,0,3,3
499,1,0,2,4
500,4,0,1,2
501,3,0,2,3
502,3,0,3,2
503,1,-2,1,1
504,5,0,4,3
505,8,0,5,3
506,8,0,3,2
507,6,0,1,2
508,3,0,2,3
509,1,0,1,3
510,2,0,3,3
511,4,0,4,4
512,8,0,3,2
513,4,0,5,3
514,2,0,3,3
515,8,0,4,3
516,1,0,1,2
517,4,0,4,4
518,1,0,4,1
519,5,0,2,3
520,1,-2,4,1
521,1,0,3,1
522,1,-2,2,2
